1.00	2.00	0.75	2.00	1.00
2.00	2.00	0.50	1.00	2.00
3.00	1.00	0.50	1.00	1.00
4.00	1.00	0.75	1.00	1.00
5.00	1.00	0.90	1.00	2.00
6.00	1.00	0.75	2.00	2.00
7.00	2.00	0.25	2.00	1.00
8.00	1.00	0.50	2.00	2.00
9.00	1.00	0.90	2.00	2.00
10.00	1.00	0.25	2.00	1.00
11.00	2.00	0.00	1.00	1.00
12.00	1.00	0.50	1.00	2.00
13.00	1.00	0.75	1.00	2.00
14.00	1.00	0.25	1.00	2.00
15.00	2.00	0.50	1.00	1.00
16.00	1.00	0.25	1.00	1.00
17.00	2.00	0.00	2.00	2.00
18.00	2.00	0.90	1.00	2.00
19.00	2.00	0.25	2.00	2.00
20.00	1.00	0.50	2.00	1.00
21.00	1.00	0.90	2.00	1.00
22.00	2.00	0.50	2.00	1.00
23.00	1.00	0.00	1.00	2.00
24.00	1.00	0.00	1.00	1.00
25.00	2.00	0.90	2.00	1.00
26.00	1.00	0.90	1.00	1.00
27.00	2.00	0.25	1.00	1.00
28.00	2.00	0.90	1.00	2.00
29.00	1.00	0.00	2.00	2.00
30.00	2.00	0.75	1.00	1.00
31.00	1.00	0.00	2.00	1.00
32.00	2.00	0.75	2.00	2.00
33.00	2.00	0.25	1.00	2.00
34.00	2.00	0.90	1.00	1.00
35.00	1.00	0.75	2.00	1.00
36.00	2.00	0.50	2.00	2.00
37.00	1.00	0.25	2.00	2.00
38.00	2.00	0.00	1.00	2.00
39.00	2.00	0.00	2.00	1.00
40.00	2.00	0.75	1.00	2.00
